ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.551304763711066875e-02,7.834202985072491465e-01,1.202901745188444282e+00,1.202601337742964960e+00,1.202705645883756391e+00,1.203125262632997350e+00,1.203135395423817089e+00,1.203032279376063274e+00
3.552675670704325689e-02,7.824034431461623917e-01,1.201610708428705765e+00,1.205024266841920211e+00,1.203041220073845396e+00,1.203067446120672956e+00,1.203168177982351539e+00,1.203063273795041299e+00
3.554046577697584502e-02,7.828272322210350076e-01,1.202574515649618592e+00,1.204546237533836051e+00,1.198946380489633201e+00,1.202727699604952294e+00,1.202883267746361229e+00,1.203176522633614853e+00
3.553390926526895505e-02,7.821387984918115599e-01,1.202891612397624543e+00,1.203771377059385417e+00,1.202446365648074833e+00,1.200392389344261845e+00,1.202854657513458436e+00,1.203119898214328076e+00
3.554225391653226956e-02,7.825238445429616441e-01,1.202936911933053965e+00,1.204704189861320218e+00,1.203146720307674444e+00,1.203009033561829755e+00,1.203239703564608520e+00,1.203248644262390643e+00
3.554225391653226956e-02,7.818687894187914544e-01,1.203069234260229381e+00,1.204738760559411093e+00,1.202996516584934783e+00,1.203037643794732547e+00,1.203027511003912808e+00,1.202677035650853599e+00
3.545761531086150803e-02,7.820183970950123076e-01,1.203003669143160481e+00,1.204837108235014442e+00,1.202891016351105735e+00,1.203034067515619698e+00,1.203049564725108711e+00,1.202726507511914678e+00
3.555179066083320044e-02,7.817644812780000230e-01,1.200342917483200766e+00,1.204881215677406248e+00,1.203152084726343718e+00,1.203134799377298281e+00,1.203203344726961221e+00,1.202336693088614128e+00
3.554821438172035136e-02,7.816810347653668778e-01,1.203023934724799959e+00,1.202209735180107986e+00,1.203024530771318767e+00,1.203117514028252844e+00,1.203255200774097533e+00,1.203122878446922117e+00
3.552973693963729779e-02,7.813079096445929572e-01,1.202930355421347075e+00,1.204906249631196191e+00,1.202714586581538514e+00,1.203133607284260664e+00,1.203279638681368668e+00,1.203140163795967554e+00
3.554642624216392682e-02,7.813395001100897908e-01,1.202243113785161244e+00,1.205064201958680359e+00,1.203005457282716906e+00,1.202865386350796983e+00,1.203086519609274818e+00,1.203125262632997350e+00
3.550529903236616242e-02,7.813806273198875552e-01,1.202975654956776497e+00,1.204986715911235295e+00,1.202631736115424177e+00,1.202812934257141864e+00,1.203284407053519134e+00,1.203121686353884501e+00
3.553986973045703684e-02,7.807392812656499537e-01,1.203111553563064762e+00,1.205043936377040881e+00,1.200530076090106535e+00,1.202566767044874085e+00,1.203026914957394000e+00,1.203054333097259176e+00
3.553569740482537959e-02,7.811183668516119560e-01,1.203056121236815601e+00,1.203444147520559726e+00,1.200668358882470033e+00,1.203104997051357872e+00,1.203066850074154148e+00,1.203023934724799959e+00
3.551543182318590147e-02,7.805115914954652290e-01,1.202868962629909833e+00,1.205002213120724308e+00,1.200703525627079715e+00,1.203025722864356384e+00,1.202935123793497540e+00,1.201968336339990673e+00
3.553033298615610597e-02,7.809878326639929647e-01,1.203086519609274818e+00,1.205091024052026727e+00,1.200500273764166126e+00,1.203130031005147815e+00,1.203107381237433104e+00,1.203043604259920629e+00
3.552079624185517509e-02,7.800460791642760405e-01,1.202771211000825291e+00,1.205077911028612947e+00,1.200519347252767988e+00,1.202860021932127710e+00,1.203019762399168302e+00,1.201714420522978388e+00
3.553986973045703684e-02,7.808698154532689450e-01,1.193942569964238309e+00,1.204161787529204775e+00,1.200604581904957557e+00,1.203045392399477054e+00,1.203148508447230869e+00,1.200274372133537826e+00
3.554165787001346138e-02,7.800085282335911252e-01,1.191996478080329602e+00,1.201906347502034622e+00,1.198597097229611608e+00,1.203149104493749677e+00,1.203186059377915784e+00,1.185450695210778171e+00
3.553927368393822867e-02,7.804996705650890654e-01,1.189845942240469689e+00,1.204909825910309040e+00,1.200134301201617903e+00,1.203079367051049120e+00,1.203164005656719882e+00,1.199395203518295761e+00
3.551364368362947693e-02,7.796336149732607801e-01,1.185635469631608707e+00,1.205082679400763412e+00,1.199198508167089061e+00,1.202938104026091581e+00,1.203261161239285615e+00,1.200536036555294617e+00
3.554046577697584502e-02,7.803393340515296650e-01,1.194189929269543704e+00,1.205070758470387249e+00,1.198498749554008258e+00,1.203093672167500516e+00,1.203143144028561595e+00,1.200032377246901705e+00
