ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9.082602749181120316e+00,1.982884321556606437e+02,3.077716407503653500e+02,3.079153302807009140e+02,3.078429666570385166e+02,3.080760935635678379e+02,3.077492741047470872e+02,3.070288523469987467e+02
9.082426915458071903e+00,1.982627818897702525e+02,3.077853033286694995e+02,3.078798386907384952e+02,3.078061756856650391e+02,3.080554041928534730e+02,3.077357557697005177e+02,3.070423373034402630e+02
9.081524501028596319e+00,1.983023730876890625e+02,3.077432266167672879e+02,3.079031476859030363e+02,3.078021106484068241e+02,3.080507943690770389e+02,3.077588436316065099e+02,3.070949819201209721e+02
9.081795106148135233e+00,1.982676951012248026e+02,3.077678397617148676e+02,3.078829387286828023e+02,3.077952435964635924e+02,3.080612835957149400e+02,3.077704570019789685e+02,3.070325841942529905e+02
9.082635531739654766e+00,1.983365152283328996e+02,3.077521935405961813e+02,3.078945973985907472e+02,3.078234622268035992e+02,3.080721024360778983e+02,3.077781269285830490e+02,3.070550628966168460e+02
9.081624636843756093e+00,1.983404890704738079e+02,3.077672282179865988e+02,3.079019997003077833e+02,3.078221920516720047e+02,3.080730924693456245e+02,3.077735457150394041e+02,3.070934083573113185e+02
9.082539568250126649e+00,1.983014212013985116e+02,3.077518257798940908e+02,3.078934321276464630e+02,3.078292379175708220e+02,3.080542329614440291e+02,3.077736786334131693e+02,3.070893659698207330e+02
9.081891069637663350e+00,1.983466164286871560e+02,3.077934214822556100e+02,3.078680196843171188e+02,3.078101978075740135e+02,3.080450425201705116e+02,3.077598384332463866e+02,3.070467808302379353e+02
9.082857857091170217e+00,1.983246014505149617e+02,3.077222708132590014e+02,3.078790060137517344e+02,3.078366610809160875e+02,3.080643830376127994e+02,3.077690789424274840e+02,3.070180740377991242e+02
9.083257208258771698e+00,1.983129809275842490e+02,3.077781275246295536e+02,3.079208764935584668e+02,3.078373232885984407e+02,3.080791566466280074e+02,3.077749184101722904e+02,3.070392056750304164e+02
9.082524667087156445e+00,1.982956997508644577e+02,3.077592185448668261e+02,3.078669760068626147e+02,3.078156248111277478e+02,3.080544719760980570e+02,3.077612188769840031e+02,3.070302166974803413e+02
9.082073459872418653e+00,1.983169929167023611e+02,3.077428821018793315e+02,3.078741428702048211e+02,3.078426537326161565e+02,3.080360773844811320e+02,3.077627364114208603e+02,3.070831307271874948e+02
9.083538542215649159e+00,1.983223638918833558e+02,3.077563932843677321e+02,3.079025111082209492e+02,3.078562072344073499e+02,3.080382046745067441e+02,3.077600649309235905e+02,3.070478650388556616e+02
9.084201345944563855e+00,1.983455679828605582e+02,3.077448377305075837e+02,3.078890321122446494e+02,3.078282496724426096e+02,3.080296996867298276e+02,3.077546939557425958e+02,3.070643951969617547e+02
9.081793318008578808e+00,1.983194700860345279e+02,3.077258917958607753e+02,3.078789565418907159e+02,3.078303251064211281e+02,3.080407080698857385e+02,3.077650919872631903e+02,3.070512607158733545e+02
9.082016239406613067e+00,1.983819882132993087e+02,3.077095046889191394e+02,3.078884396420049256e+02,3.078244915991415382e+02,3.080198303484714870e+02,3.077573272892626619e+02,3.070264133246437837e+02
9.081756959170931509e+00,1.983459709103073010e+02,3.076939752929181395e+02,3.078905943501704314e+02,3.078342876236781649e+02,3.080386308477677062e+02,3.077518937291972065e+02,3.070369782491896444e+02
9.082387576387830563e+00,1.984130797878598855e+02,3.076814422227671457e+02,3.078721133318082366e+02,3.078182712576712561e+02,3.080317685641966250e+02,3.077403393674301242e+02,3.070362272305759461e+02
9.082505593598554583e+00,1.983891747461765931e+02,3.076916221012618848e+02,3.079053721315112284e+02,3.078723338690201672e+02,3.080203512931288969e+02,3.077321914115180448e+02,3.070762457938487273e+02
9.082036504988252545e+00,1.984073231705812645e+02,3.077003386855528788e+02,3.078916165699501448e+02,3.078261629135802764e+02,3.080169580002973362e+02,3.077162131924883397e+02,3.070243736534564505e+02
9.082025180104395190e+00,1.983742306678570060e+02,3.077008185030005620e+02,3.079006240249424309e+02,3.078544286315951695e+02,3.080299589669655234e+02,3.077427116325749807e+02,3.070474883374557749e+02
9.082582483599480838e+00,1.984321067848333087e+02,3.077304873145207580e+02,3.079228023198606934e+02,3.078082958231324824e+02,3.080081228027490283e+02,3.077248958021277758e+02,3.070623054578668416e+02
9.082859049184207834e+00,1.984034953598374500e+02,3.076742562859363943e+02,3.079091981541154155e+02,3.078477302608168316e+02,3.080034366850181300e+02,3.077373174115797383e+02,3.070395954894537454e+02
9.082226047781233547e+00,1.984208087230692854e+02,3.077406481195268952e+02,3.079445002012848818e+02,3.078509167255064085e+02,3.079924253216296393e+02,3.077393183397434200e+02,3.071264823825934513e+02
9.082431683830222369e+00,1.984701363408728128e+02,3.077161619324876938e+02,3.078979024765375243e+02,3.078247997551917479e+02,3.079951480621275550e+02,3.077181849143725572e+02,3.070954498166381654e+02
